USS            H    -12.816324000000
ZS             H      1.225322000000
BETAS          H    -10.500531000000
GSS            H     16.916618000000
USS            C    -50.942562000000
UPP            C    -38.537021000000
ZS             C      1.593809000000
ZP             C      1.608415000000
BETAS          C    -18.280953000000
BETAP          C     -6.251392000000
GSS            C     14.199344000000
GPP            C     12.344352000000
GSP            C      9.534850000000
GP2            C     10.480612000000
HSP            C      0.281200000000
FN11           C      0.072520000000
